postal_code;locality_name;state_name;lat;lon
A4193;CERRO COLORADO;Salta;"Argentina";-25.9121;-64.7939
A4193;CHAÑAR AGUADA;Salta;"Argentina";-25.9121;-64.7939
A4193;CERRO NEGRO (SAN LORENZO, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.9121;-64.7939
A4193;SAN LORENZO (DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.9121;-64.7939
A4193;SURI MICUNA;Salta;"Argentina";-25.9121;-64.7939
A4193;APEADERO COCHABAMBA;Salta;"Argentina";-26.05;-64.6333
A4193;LOS BAÑOS;Salta;"Argentina";-25.8333;-64.9
A4193;TUNAL;Salta;"Argentina";-25.4167;-65.5833
A4193;ALMIRANTE BROWN;Salta;"Argentina";-25.9;-64.7667
A4193;MORENILLO;Salta;"Argentina";-26.2;-64.85
A4193;VILLA CORTA;Salta;"Argentina";-25.8667;-64.5833
A4193;COPO QUILE;Salta;"Argentina";-26.0167;-64.6667
A4193;LOS ROSALES;Salta;"Argentina";-25.9121;-64.7939
A4193;PUENTE DE PLATA;Salta;"Argentina";-25.95;-64.7167
A4193;ANTILLA;Salta;"Argentina";-26.1167;-64.6
A4193;BALBOA;Salta;"Argentina";-25.8667;-64.8
A4193;LA CIENAGA;Salta;"Argentina";-25.9121;-64.7939
A4193;RECREO;Salta;"Argentina";-25.8167;-64.6333
A4198;HORCONES;Salta;"Argentina";-25.7167;-64.9
A4198;LA HOYADA;Salta;"Argentina";-25.85;-65.1833
A4198;SAN LORENZO (HORCONES, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;SAN FELIPE (HORCONES - DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;EL PUESTITO;Salta;"Argentina";-25.7833;-65.0417
A4198;LOS CHURQUIS (ARENAL, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;POZO VERDE (HORCONES, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;EL OJITO;Salta;"Argentina";-25.7833;-65.0417
A4198;EL QUEMADO (BAJADA DE GAVI, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;LAS MOJARRAS;Salta;"Argentina";-25.7833;-65.0417
A4198;BAJADA DE GAVI;Salta;"Argentina";-25.7833;-65.0417
A4198;OVEJERIA (HORCONES, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;BAJADA GRANDE;Salta;"Argentina";-25.7833;-65.0417
A4198;LA PLATA;Salta;"Argentina";-25.7833;-65.0417
A4198;ARENAL (DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;EL CORRAL VIEJO;Salta;"Argentina";-25.7833;-65.0417
A4198;LA PALATA;Salta;"Argentina";-25.7833;-65.0417
A4198;SANTA ROSA (HORCONES - DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;LAS VENTANAS;Salta;"Argentina";-25.7833;-65.0417
A4198;FEDERACION;Salta;"Argentina";-25.7833;-65.0417
A4198;CAMARA (ARENAL, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;TAMAS CORTADAS;Salta;"Argentina";-25.7833;-65.0417
A4198;DIAMANTE (HORCONES, DPTO. ROSARIO DE LA FRONTERA);Salta;"Argentina";-25.7833;-65.0417
A4198;EL TANDIL;Salta;"Argentina";-25.7833;-65.0417
A4198;LOS ZANJONES;Salta;"Argentina";-25.7833;-65.0417
A4198;PASO VERDE;Salta;"Argentina";-25.7833;-65.0417
A4400;BELGRANO (SALTA - DPTO. CAPITAL);Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO LIBERTADOR;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO CASTAÑARES;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO VILLA SAN ANTONIO;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO SAN REMO;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO SAN CAYETANO;Salta;"Argentina";-24.8056;-65.3417
A4400;KILOMETRO 1129;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO LAS ROSAS;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO TRES CERRITOS;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO LA LOMA;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO FINCA INDEPENDENCIA;Salta;"Argentina";-24.8056;-65.3417
A4400;CAMPO CASEROS;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO OBRERO;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO PARQUE TRES CERRITOS;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO 20 DE JUNIO;Salta;"Argentina";-24.8056;-65.3417
A4400;LOS NOQUES;Salta;"Argentina";-24.8056;-65.3417
A4400;CHAMICAL;Salta;"Argentina";-24.8056;-65.3417
A4400;BARRIO EL CARMEN;Salta;"Argentina";-24.8056;-65.3417
A4400;LA TROJA;Salta;"Argentina";-24.8056;-65.3417
A4400;ESTELA;Salta;"Argentina";-24.8056;-65.3417
A4400;HIGUERILLAS;Salta;"Argentina";-24.8;-65.2833
A4400;SALTA;Salta;"Argentina";-24.7833;-65.4167
A4400;LA QUESERA;Salta;"Argentina";-24.8833;-65.3
A4400;CHACHAPOYAS;Salta;"Argentina";-24.75;-65.3833
A4400;LA ISLA;Salta;"Argentina";-24.8833;-65.3833
A4400;BARRIO MITRE;Salta;"Argentina";-24.8056;-65.3417
A4400;LA LAGUNILLA;Salta;"Argentina";-24.7333;-65.2833
A4401;VAQUEROS;Salta;"Argentina";-24.7167;-65.4167
A4401;CALDERA;Salta;"Argentina";-24.6;-65.3833
A4401;GENERAL ALVARADO;Salta;"Argentina";-24.85;-65.4667
A4401;LAS COSTAS;Salta;"Argentina";-24.75;-65.4667
A4401;CALDERILLA;Salta;"Argentina";-24.65;-65.3667
A4401;SANTA RUFINA;Salta;"Argentina";-24.5167;-65.4167
A4401;VILLA SAN LORENZO;Salta;"Argentina";-24.6806;-65.4194
A4401;ANTONIO ALICE;Salta;"Argentina";-24.6806;-65.4194
A4401;YACONES;Salta;"Argentina";-24.6806;-65.4194
A4401;LOS SAUCES (CALDERA, DPTO. CALDERA);Salta;"Argentina";-24.6806;-65.4194
A4401;CURUZU;Salta;"Argentina";-24.6806;-65.4194
A4401;VELARDES;Salta;"Argentina";-24.6806;-65.4194
A4401;KILOMETRO 1125 (EMBARCADERO FCGB);Salta;"Argentina";-24.6806;-65.4194
A4401;LA UNION (GRAL. ALVARADO, DPTO. CAPITAL);Salta;"Argentina";-24.6806;-65.4194
A4401;ATOCHA;Salta;"Argentina";-24.6806;-65.4194
A4401;MAYO TORITO;Salta;"Argentina";-24.6806;-65.4194
A4401;PEÑALVA;Salta;"Argentina";-24.6806;-65.4194
A4401;LOS ALAMOS;Salta;"Argentina";-24.6806;-65.4194
A4401;POTRERO DE CASTILLO;Salta;"Argentina";-24.6806;-65.4194
A4401;PAREDES;Salta;"Argentina";-24.6806;-65.4194
A4401;SAN ALEJO;Salta;"Argentina";-24.6806;-65.4194
A4401;MONTE;Salta;"Argentina";-24.6806;-65.4194
